Model,Architecture,Pixel Shaders,Vertex Shaders,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type
Intel UHD Graphics P630,Gen. 9.5,24,,300,1200,,64/128,
Intel HD Graphics 630,Gen. 9.5 Kaby Lake,24,,300,1150,,64/128,
Intel HD Graphics P630,Gen. 9.5 Kaby Lake,24,,,,,64/128,
Intel UHD Graphics G7 (Lakefield GT2 64 EU),Gen. 11 Ice Lake,64,,200,500,,,DDR4
Intel HD Graphics 530,Gen. 9 Skylake,24,,350,1150,,64/128,
Intel HD Graphics P530,Gen. 9 Skylake,24,,350,1050,,64/128,DDR3/DDR4
AMD Radeon R5 (Bristol Ridge),GCN 1.2/2.0,384,,,800,,64/128,
Intel UHD Graphics 620,Gen. 9.5,24,,300?,1150,,64/128,DDR3/DDR4
Intel HD Graphics 620,Gen. 9.5 Kaby Lake,24,,300,1050,,64/128,DDR3/DDR4
AMD Radeon R6 (Carrizo),GCN 1.2/2.0,384,,,800,,64/128,
Qualcomm Adreno 685,,0,,,,,,
Qualcomm Adreno 680,,0,,,,,,
ATI Mobility Radeon HD 4860,Terascale 1,640,,650,,1000,128,GDDR5
ATI FirePro M7740,Terascale 1,640,,650,,1000,128,GDDR5
ATI Mobility Radeon HD 4850,Terascale 1,800,,500,,850,256,GDDR3
NVIDIA GeForce GTX 260M,G9x,112,,550,,950,256,GDDR3
NVIDIA GeForce 9800M GTX,G9x,112,,500,,800,256,GDDR3
NVIDIA Quadro FX 2800M,G9x,96,,600,,1000,256,GDDR3
AMD Radeon HD 6775G2,Terascale 2,880,,,,,,
AMD Radeon HD 7690M XT,Terascale 2,480,,725,,3600,128,GDDR5
AMD FirePro M5950,Terascale 2,480,,725,,900,128,GDDR5
NVIDIA GeForce GT 640M LE,Fermi / Kepler,384,,500,,1800 - 4000,128,"DDR3, GDDR5"
AMD Radeon R6 (Kaveri),GCN 1.1,384,,533,654,,64/128,
AMD Radeon HD 8650M,GCN,384,,650,,4500,64,GDDR5
AMD Radeon HD 8730M,GCN,384,,650,,2000,128,DDR3
AMD Radeon HD 6770M,Terascale 2,480,,675 / 725,,800,128,GDDR5
NVIDIA GeForce GT 635M,Fermi,144,,660,753,1800,128/192,"DDR3, GDDR5"
NVIDIA GeForce GT 555M,Fermi,144,,525,753,785-900,"128, 192","DDR3,GDDR5"
ATI Mobility Radeon HD 5850,Terascale 2,800,,625,,2000,128,"DDR3, GDDR3, GDDR5"
AMD Radeon HD 6850M,Terascale 2,800,,575 / 675,,800,128,"DDR3, GDDR5"
NVIDIA Quadro 2000M,Fermi,192,,550,,900,128,DDR3
NVIDIA GeForce 9800M GT,G9x,96,,500,,800,256,GDDR3
NVIDIA GeForce 8800M GTX,G9x,96,,500,,800,256,GDDR3
NVIDIA Quadro FX 3600M,G9x,96,,500,,800,256,GDDR3
NVIDIA GeForce GT 445M,Fermi,144,,590,,1250,192 / 128,"DDR3, GDDR5"
NVIDIA GeForce GTS 360M,GT2xx,96,,575,,1800,128,"DDR3, GDDR3, GDDR5"
AMD Radeon HD 6755G2,Terascale 2,880,,,,,,
AMD Radeon HD 7690M,Terascale 2,480,,600,725,3600/1800,128,GDDR5/DDR3
Intel HD Graphics 5600,Gen. 8 Broadwell,24,,300,1050,,64/128,
AMD Radeon HD 8650G + HD 8670M Dual Graphics,,768,,720 / 775,,1800 - 2000,64,DDR3
AMD Radeon HD 8650G + HD 8570M Dual Graphics,,768,,720 / 650,,1800 - 2000,64,DDR3
AMD Radeon HD 7660G + HD 7670M Dual Graphics,Terascale 2,862,,685 / 600,,1800,128,"DDR3,GDDR5"
AMD Radeon HD 8550G + HD 8670M Dual Graphics,,640,,720 / 975,,2000,64,DDR3
AMD Radeon HD 8670M,GCN,384,,775,,2000,64,DDR3
AMD Radeon R6 M255DX,GCN,576,,855 / 514,,,,DDR3
AMD Radeon HD 6750M,Terascale 2,480,,600,,900,128,GDDR5
NVIDIA Quadro K1000M,Kepler,192,,850,,1800,128,DDR3
NVIDIA GeForce GT 550M,Fermi,96,,740,,900,128,"DDR3, GDDR5"
AMD Radeon HD 8590M,GCN,384,,620,,4500,64,GDDR5
NVIDIA GeForce GTS 260M,GT2xx,96,,550,,1800,128,"GDDR3, GDDR5"
NVIDIA GeForce GTS 160M,G9x,64,,600,,800,256,GDDR3
NVIDIA GeForce 9800M GTS,G9x,64,,600,,800,256,GDDR3
AMD Radeon HD 6830M,Terascale 2,800,,575,,900,128,"DDR3, GDDR3"
ATI Mobility Radeon HD 5830,Terascale 2,800,,500,,800,128,"DDR3, GDDR3"
AMD Radeon HD 6760G2,Terascale 2,880,,,,,,
AMD Radeon HD 6740G2,Terascale 2,880,,,,,,
AMD Radeon HD 6730M,Terascale 2,480,,725,,800,128,DDR3
NVIDIA GeForce 9800M GS,G9x,64,,530,,800,256,GDDR3
ATI Mobility Radeon HD 4830,Terascale 1,640,,550,,700,128,"GDDR3, DDR3"
ATI Mobility Radeon HD 5770,Terascale 2,400,,650,,800,128,GDDR5
AMD Radeon HD 6570M,Terascale 2,400,,650,,900,128,"DDR3, GDDR5"
AMD Radeon HD 8650G,Terascale 3,384,,533,720,,,
AMD Radeon HD 7640G + HD 7670M Dual Graphics,Terascale 3,736,,655 / 600,,1800,128,
AMD Radeon HD 6620G + HD 7670M Dual Graphics,Terascale 2,880,,400 / 600,,1800,,
AMD Radeon HD 7520G + HD 7670M Dual Graphics,Terascale 3,736,,655 / 600,,1800,128,
AMD Radeon HD 7670M,Terascale 2,480,,600,,1800,128,"DDR3, (GDDR5)"
NVIDIA GeForce GT 630M,Fermi,96,,672,,1800,128,DDR3
NVIDIA GeForce GTS 150M,G9x,64,,400,,800,256,GDDR3
AMD Radeon R5 M335,GCN 1.0,320,,1070,,2200,64,DDR3
AMD Radeon R5 M330,GCN 1.0,320,,1030,,2000,64,DDR3
AMD Radeon R5 M430,GCN,320,,955,,1746,64,DDR3
AMD Radeon R5 M255,GCN,320,,940,,1800 - 2000,64,DDR3
AMD Radeon RX Vega 3,Vega,192,,,1000,,,
NVIDIA Quadro 1000M,Fermi,96,,700,,900,128,DDR3
NVIDIA GeForce 910M,Kepler,384,,641,,2000,64,DDR3
NVIDIA GeForce 820M,Fermi,96,,775,,1800,64,DDR3
Intel HD Graphics 520,Gen. 9 Skylake,24,,300,1050,,64/128,DDR3/DDR4
Intel Iris Graphics 6100,Gen. 8 Broadwell,48,,300,1100,,64/128,
Intel UHD Graphics G4 (Lakefield GT1 48 EU),Gen. 11 Ice Lake,48,,200,500,,,DDR4
NVIDIA GeForce GT 720M,Fermi,96,,625,938,1800 - 2000,64,DDR3
NVIDIA GeForce 8800M GTS,G9x,64,,500,,800,256,GDDR3
AMD Radeon R5 M240,GCN,320,,1030,,1800,64,DDR3
AMD Radeon R5 M320,GCN 2.0,320,,855,,2000,64,DDR3
AMD Radeon R5 M230,GCN,320,,855,,1800 - 2000,64,DDR3
AMD Radeon R5 M315,GCN,320,,970,,1800,64,DDR3
AMD Radeon R5 M420,GCN,320,,780,,2000,64,DDR3
AMD Radeon RX Vega 2,Vega,128,,,1100,,,
AMD Radeon R5 (Stoney Ridge),GCN 1.2/2.0,192,,,800,,64,
ATI Mobility Radeon HD 5750,Terascale 2,400,,550,,1600,128,"DDR, GDDR3, GDDR5"
AMD Radeon HD 6720G2,Terascale 2,880,,,,,,
AMD Radeon HD 8450G + Radeon HD 8570M Dual Graphics,Terascale 3 / GCN,576,,720 / 650,,1800,64,
AMD Radeon HD 8570M,GCN,384,,650,,1800 - 2000,64,DDR3
Intel HD Graphics 6000,Gen. 8 Broadwell,48,,300,1000,,64/128,
NVIDIA Quadro K610M,Kepler,192,,954,,2600,64,GDDR5
AMD Radeon HD 8550M,GCN,384,,700,,1800,64,DDR3
Intel Iris Graphics 5100,Gen. 7.5 Haswell,40,,200,1200,,64/128,
NVIDIA GeForce GT 540M,Fermi,96,,672,,900,128,"GDDR5, DDR3"
AMD Radeon HD 6690G2,Terascale 2,880,,,,,,
AMD Radeon HD 6650M,Terascale 2,480,,600,,900,128,DDR3
Intel HD Graphics 4600,Gen. 7.5 Haswell,20,,200,1350,,64/128,
ATI Mobility Radeon HD 5730,Terascale 2,400,,650,,800,128,"DDR3, GDDR3"
Intel HD Graphics 5500,Gen. 8 Broadwell,24,,300,950,,64/128,
Qualcomm Adreno 630,,0,,,,,,
Intel UHD Graphics 617,Gen. 9 Amber Lake,24,,300,1150,,64/128,DDR3L/LPDDR3
Intel UHD Graphics 615,Gen. 9 Amber Lake,24,,300,1000,,64/128,DDR3L/LPDDR3
Intel HD Graphics 615,Gen. 9 Kaby Lake,24,,300,1050,,64/128,DDR3L/LPDDR3
AMD Radeon R5 (Carrizo),GCN 1.2/2.0,256,,,800,,64/128,
AMD Radeon R5 (Kaveri),GCN 1.1,256,,514,626,,64/128,
ATI FirePro M5800,Terascale 2,400,,650,,800,128,"DDR3, GDDR5"
NVIDIA NVS 5400M,Fermi,96,,660,,1800,128,DDR3
NVIDIA GeForce 710M,Fermi,96,,775,800,1800,64,DDR3
AMD Radeon HD 7660G,Terascale 3,384,,497,686,,,
NVIDIA GeForce GT 435M,Fermi,96,,650,,800,128,DDR3
AMD Radeon HD 6680G2,Terascale 2,800,,,,,,
Intel HD Graphics 5000,Gen. 7.5 Haswell,40,,200,1100,,64/128,
NVIDIA Quadro K510M,Kepler,192,,846,,2400,64,GDDR5
AMD Radeon HD 6550M,Terascale 2,400,,600,,800,128,DDR3
AMD Radeon HD 7590M,Terascale 2,480,,600,,3200,64,
NVIDIA GeForce GTS 350M,GT2xx,96,,500,,1600,128,"DDR3, GDDR3, GDDR5"
NVIDIA GeForce GTS 250M,GT2xx,96,,500,,1600,128,"DDR3, GDDR3, GDDR5"
AMD Radeon HD 6630M,Terascale 2,480,,485,,800,128,DDR3
AMD Radeon HD 7650M,Terascale 2,480,,450,550,1800,128,DDR3
AMD FirePro M2000,Terascale 2,480,,500,,3200,64,GDDR5
AMD Radeon HD 7570M,Terascale 2,400,,450,650,3200 / 1800,64,GDDR5 / DDR3
AMD Radeon HD 7630M,Terascale 2,480,,450,,1800,128,DDR3
NVIDIA Quadro FX 1800M,GT2xx,72,,560,,1100,128,"DDR3, GDDR5"
ATI Mobility Radeon HD 5650,Terascale 2,400,,450,650,800,128,"GDDR3, DDR3"
AMD Radeon HD 8510G,TeraScale 3,384,,450,554,,,
AMD Radeon HD 6530M,Terascale 2,400,,500,,800,128,DDR3
AMD Radeon HD 8550G,Terascale 3,256,,515,720,,,
NVIDIA Quadro K500M,Kepler,192,,850,,1800,64,DDR3 / GDDR5
NVIDIA GeForce GT 625M,Fermi,96,,625,,1800,64,DDR3
NVIDIA GeForce GT 620M,Fermi,96,,625,715,1800,64 / 128,DDR3
NVIDIA GeForce GT 525M,Fermi,96,,600,,900,128,"GDDR5, DDR3"
AMD Radeon HD 7640G + HD 7610M Dual Graphics,Terascale 3,656,,655 / 450,,1800,128,
AMD Radeon HD 7610M,Terascale 2,400,,450,,1600,128,DDR3
AMD Radeon HD 7620G,Terascale 3,384,,360,497,,,
AMD Radeon HD 7640G,Terascale 3,256,,497,686,,,
Intel HD Graphics 515,Gen. 9 Skylake,24,,300,1000,,64/128,DDR3L/LPDDR3
Intel UHD Graphics 610,Gen. 9 Kaby Lake,12,,300,950,,64/128,DDR3/DDR4
Intel HD Graphics 610,Gen. 9 Kaby Lake,12,,300,950,,64/128,DDR3/DDR4
Intel HD Graphics 4400,Gen. 7.5 Haswell,20,,200,1100,,64/128,
AMD Radeon HD 8610G,Terascale 3,384,,533,626,,,
Intel HD Graphics 510,Gen. 9 Skylake,12,,300,950,,64/128,DDR3/DDR4
NVIDIA NVS 5200M,Fermi,96,,625,,1800,64,DDR3
ATI Mobility Radeon HD 565v,Terascale 1,320,,675,,800,128,"GDDR3, DDR3, DDR2"
AMD Radeon HD 7550M,Terascale 2,400,,450,550,3200 / 1800,64,GDDR5 / DDR3
ATI Mobility Radeon HD 4670,Terascale 1,320,,675,,800,128,"GDDR3, DDR2, DDR3"
NVIDIA GeForce GT 425M,Fermi,96,,560,,800,128,DDR3
NVIDIA GeForce 9700M GTS,G9x,48,,530,,800,256,GDDR3
AMD Radeon HD 6645G2,Terascale 2,560,,,,,,
NVIDIA Quadro FX 2700M,G9x,48,,530,,800,256,GDDR3
NVIDIA GeForce GT 335M,GT200,72,,450,,1066,128,"DDR3, GDDR3"
AMD Radeon HD 7500G + HD 7550M Dual Graphics,Terascale 3,736,,655 / 600,,1800,128,
AMD Radeon HD 7600G,Terascale 3,384,,320,424,,,
ATI Mobility Radeon HD 3870,RV6xx,320,,660,,850,256,GDDR3
AMD Radeon HD 6620G + HD 7450M Dual Graphics,Terascale 2,560,,400 / 700,,1800,,
AMD Radeon HD 6640G2,Terascale 2,560,,,,,,
ATI Mobility Radeon HD 5165,Terascale 1,320,,600,,900,128,(G)DDR3
ATI Mobility Radeon HD 560v,Terascale 1,320,,550,,800,128,"GDDR3, DDR3, DDR2"
ATI Mobility Radeon HD 4650,Terascale 1,320,,550,,800,128,"GDDR3, DDR2, DDR3"
NVIDIA GeForce Go 7950 GTX SLI,G7x,48,16,575,,700,256,GDDR3
NVIDIA GeForce Go 7900 GTX SLI,G7x,48,16,500,,600,256,GDDR3
NVIDIA GeForce GT 420M,Fermi,96,,500,,800,128,(G)DDR3
AMD Radeon HD 7530M,Terascale 2,400,,450,,1800,64,DDR3
ATI Mobility Radeon HD 3850,RV6xx,320,,580,,750,256,GDDR3
NVIDIA GeForce GT 330M,GT2xx,48,,575,,1066,128,"GDDR2, GDDR3, DDR3"
NVIDIA Quadro FX 880M,GT2xx,48,,550,,790,128,"GDDR3, DDR3"
NVIDIA Quadro NVS 5100M,GT2xx,48,,550,,800,128,DDR3
NVIDIA GeForce GT 240M,GT2xx,48,,550,,800,128,"DDR3, GDDR2, GDDR3"
AMD Radeon HD 7490M,Terascale 2,160,,800,,3800,64,GDDR5
Intel UHD Graphics 605,Gen. 9 Apollo Lake,18,,300,750,,64/128,DDR4 / LPDDR4
Intel HD Graphics 505,Gen. 9 Apollo Lake,18,,300,750,,64/128,(LP)DDR3(L) / LPDDR4
Intel HD Graphics 5300,Gen. 8 Broadwell,24,,100,900,,64/128,
AMD Radeon HD 7510M,Terascale 2,400,,450,,1600,64,DDR3
NVIDIA GeForce Go 7950 GTX,G7x,24,8,575,,700,256,GDDR3
NVIDIA Quadro FX 3500M,G7x,24,8,575,,700,256,GDDR3
NVIDIA GeForce 8700M GT SLI,G8x,64,,625,,800,128,GDDR3
NVIDIA GeForce 9700M GT,G9x,32,,625,,800,128,"GDDR2, GDDR3"
NVIDIA GeForce GT 230M,GT2xx,48,,500,,800,128,"GDDR2, GDDR3"
ATI Mobility Radeon HD 550v,Terascale 1,320,,450,,600,128,"GDDR3, DDR3, DDR2"
Intel HD Graphics 4000,Gen. 7 Ivy Bridge,16,,350,1350,,64/128,
AMD Radeon HD 6620G,Terascale 2,400,,400,,,,
AMD Radeon R4 (Stoney Ridge),GCN 1.2/2.0,192,,,600,,64,
AMD Radeon R5 (Beema/Carrizo-L),GCN 1.1,128,,,850,,64,
AMD Radeon R4 (Beema),GCN 1.1,128,,800,,,64,
AMD Radeon R4 (Kaveri),GCN 1.1,192,,533,,,64/128,
AMD Radeon R3 (Mullins/Beema),GCN 1.1,128,,350,686,,64,
AMD Radeon R2 (Stoney Ridge),GCN 1.2/2.0,128,,,600,,64,
Intel HD Graphics (Broadwell),Gen. 8 Broadwell,12,,100,850,,64/128,
Intel HD Graphics 4200,Gen. 7.5 Haswell,20,,200,850,,64/128,
Intel HD Graphics (Skylake),Gen. 9 Skylake,12,,300,800,,64/128,DDR3L/LPDDR3
AMD Radeon HD 6545G2,Terascale 2,480,,,,,,
AMD Radeon HD 6520G + HD 7450M Dual Graphics,Terascale 2,480,,400 / 700,,1800,64,
AMD Radeon HD 6540G2,Terascale 2,480,,,,,,
AMD Radeon HD 7500G,Terascale 3,256,,327,424,,,
AMD Radeon HD 6480G + HD 7450M Dual Graphics,Terascale 2,400,,593 / 700,,- / 1800,64,
AMD Radeon HD 6515G2,Terascale 2,400,,,,,,
AMD Radeon HD 8450G,Terascale 3,192,,533,720,,,
AMD Radeon HD 7470M,Terascale 2,160,,750 / 800,,3200 / 1800,64,DDR3/GDDR5
AMD Radeon HD 6490M,Terascale 2,160,,700 / 750 / 800,,800,64,DDR3/GDDR5
AMD Radeon HD 8410G,TeraScale 3,192,,450,600,,,
AMD Radeon HD 8400,GCN,128,,600,,,,
NVIDIA GeForce GT 520MX,Fermi,48,,900,,900,64,DDR3
AMD Radeon HD 7520G,Terascale 3,192,,497,686,,,
NVIDIA GeForce GT 325M,GT2xx,48,,450,,1066,128,"GDDR2, GDDR3, DDR3"
NVIDIA GeForce Go 7800 GTX SLI,G7x,48,16,440,,550,256,GDDR3
NVIDIA GeForce 8600M GT SLI,G8x,64,,475,,700,128,"GDDR3, GDDR2"
NVIDIA GeForce Go 7900 GS SLI,G7x,40,14,375,,500,256,GDDR3
NVIDIA GeForce GT 130M,G9x,32,,600,,1066,128,"GDDR2, GDDR3"
NVIDIA NVS 4200M,Fermi,48,,810,,800,64,DDR3
NVIDIA GeForce Go 7900 GTX,G7x,24,8,500,,600,256,GDDR3
NVIDIA Quadro FX 2500M,G7x,24,8,500,,600,256,GDDR3
AMD Radeon HD 8350G,Terascale 3,128,,514,720,,,
AMD Radeon HD 8330,GCN,128,,500,,,,
Intel UHD Graphics 600,Gen. 9 Gemini Lake,12,,300,700,,64/128,DDR4 / LPDDR4
Intel HD Graphics 500,Gen. 9 Apollo Lake,12,,300,700,,64/128,(LP)DDR3(L) / LPDDR4
NVIDIA GeForce 9650M GS,G8x,32,,625,,800,128,"GDDR2?, GDDR3"
NVIDIA GeForce 9650M GT,G9x,32,,550,,800,128,"GDDR2, GDDR3"
NVIDIA GeForce 8700M GT,G8x,32,,625,,800,128,GDDR3
NVIDIA Quadro FX 1700M,G9x,32,,625,,800,128,GDDR3
NVIDIA Quadro FX 1600M,G8x,32,,625,,800,128,GDDR3
NVIDIA GeForce Go 7800 GTX,G7x,24,8,440,,550,256,GDDR3
NVIDIA GeForce Go 7900 GS,G7x,20,7,375,,500,256,GDDR3
NVIDIA Quadro NVS 320M,G8x,32,,575,,700,128,"GDDR3, GDDR2"
NVIDIA Quadro FX 1500M,G7x,20,7,375,,500,256,GDDR3
NVIDIA GeForce 9600M GT,G9x,32,,500,,800,128,"GDDR2, GDDR3"
NVIDIA GeForce GT 220M,GT2xx,32,,500,,800,128,"GDDR2, GDDR3"
NVIDIA Quadro FX 770M,G9x,32,,500,,800,128,GDDR2 / GDDR3
NVIDIA GeForce GT 120M,G9x,32,,500,,1000,128,"GDDR2, GDDR3"
AMD Radeon HD 6510G2,Terascale 2,400,,,,,,
AMD Radeon HD 7450M,Terascale 2,160,,700,,1800,64,"DDR3, GDDR5"
NVIDIA GeForce 610M,Fermi,48,,672,900,1800,64,DDR3
NVIDIA GeForce 705M,Fermi,48,,775,,1800,64,DDR3
Intel HD Graphics 405 (Braswell),Gen. 8,16,,320,700,,64/128,
Intel HD Graphics (Braswell),Gen. 8,16,,320,700,,64/128,
Intel HD Graphics 400 (Braswell),Gen. 8,12,,320,640,,64/128,
AMD Radeon HD 6470M,Terascale 2,160,,700 / 750,,800,64,DDR3
AMD FirePro M3900,Terascale 2,160,,700,750,900,64,DDR3
NVIDIA GeForce GT 520M,Fermi,48,,740 / 600,,800 / 900,64 / 128,DDR3 (GDDR5)
AMD Radeon HD 7420G,Terascale 3,128,,480,655,,,
ATI Mobility Radeon HD 3670,RV6xx,120,,680,,800,128,DDR2/GDDR3/GDDR4
ATI Mobility FireGL V5725,RV6xx,120,,680,,800,128,
Intel HD Graphics (Haswell),Gen. 7.5 Haswell,10,,200,1000,,64/128,
AMD Radeon HD 6520G,Terascale 2,320,,400,,,,
AMD Radeon HD 8310G,TeraScale 3,128,,424,554,,,
NVIDIA GeForce 320M,GT2xx,32,,450,,,,
NVIDIA GeForce GT 320M,GT2xx,24,,500,,790,128,DDR3
ATI Mobility Radeon HD 2600 XT,RV6xx,120,,700,,750,128,"DDR2, GDDR3"
ATI Mobility Radeon X1900,,36,8,400,,470,256,DDR1/DDR2/GDDR3
ATI Mobility Radeon X1800XT,,16,8,550,,650,256,GDDR3
ATI Mobility Radeon X1800,,12,6,450,,500,256,GDDR3
NVIDIA GeForce Go 6800 Ultra,,12,5,450,,600,256,DDR3
NVIDIA GeForce Go 7800,G7x,16,6,400,,550,256,GDDR3
NVIDIA GeForce 9600M GS,G9x,32,,430,,800,128,"GDDR2, GDDR3"
NVIDIA GeForce 9500M GS,G8x,32,,475,,700,128,GDDR2 / GDDR3
AMD Radeon HD 7400G,Terascale 3,192,,327,423,,,
AMD Radeon HD 6480G,Terascale 2,240,,444,,,,
ATI Mobility Radeon HD 2700,RV6xx,120,,700,,700,128,"DDR2, GDDR3"
NVIDIA GeForce GT 415M,Fermi,48,,500,,800,128,(G)DDR3
NVIDIA GeForce 410M,Fermi,48,,575,,800,64,DDR3
AMD Radeon HD 7370M,Terascale 2,80,,750,,1600,64,DDR3
AMD Radeon R2 (Mullins/Beema/Carrizo-L),GCN 1.1,128,,300,600,,64,
AMD Radeon HD 6370M,Terascale 2,80,,750,,800,64,DDR3
AMD Radeon HD 8280,GCN,128,,450,,,,
ATI Mobility Radeon HD 5470,Terascale 2,80,,750,,1800,64,"DDR2, GDDR2, DDR3, GDDR3, GDDR5"
AMD Radeon HD 6450M,Terascale 2,160,,600,,800,64,DDR3
AMD Radeon HD 7430M,Terascale 2,160,,600,,1800,64,DDR3
ATI Mobility Radeon HD 3650,RV6xx,120,,600,,700,128,DDR2/GDDR3/GDDR4
ATI Mobility FireGL V5700,RV6xx,120,,600,,700,128,DDR2/GDDR3/GDDR4
ATI Mobility Radeon HD 5145,Terascale 1,80,,720,,900,64,"DDR3, GDDR3"
ATI Mobility Radeon HD 545v,Terascale 1,80,,720,,800,64,"GDDR3, DDR3, DDR2"
AMD Radeon HD 8240,GCN,128,,400,,,,
AMD Radeon R6 (Mullins),GCN 1.1,128,,500,,,64,
AMD Radeon HD 8250,GCN,128,,300,400,,,
Intel HD Graphics (Cherry Trail),Gen. 8,16,,200,600,,64/128,
ATI Mobility Radeon HD 4570,Terascale 1,80,,680,,800,64,"GDDR3, DDR2, DDR3"
NVIDIA Quadro FX 570M,G8x,32,,475,,700,128,GDDR3
ATI Mobility Radeon HD 5450,Terascale 2,80,,675,,800,64,DDR3
NVIDIA GeForce 8600M GT,G8x,32,,475,,700,128,"GDDR3, GDDR2"
ATI Mobility Radeon HD 2600,RV6xx,120,,500,,600,128,"DDR2, GDDR3"
Intel HD Graphics 3000,Gen. 6 Sandy Bridge,12,,350,1350,,64/128,
NVIDIA Quadro FX 380M,GT2xx,16,,625,,800,64,"GDDR3, DDR3"
NVIDIA GeForce 310M,GT2xx,16,,606 / 625,,800,64,"GDDR3, DDR3"
NVIDIA GeForce G210M,GT2xx,16,,625,,800,64,"GDDR2, GDDR3"
NVIDIA NVS 3100M,GT2xx,16,,600,,800,64,"GDDR3, DDR3"
NVIDIA GeForce 405M,GT2xx,16,,606,,1600,64,"GDDR3, DDR3"
NVIDIA GeForce 315M,GT2xx,16,,606,,790,64,"GDDR3, DDR3"
NVIDIA GeForce Go 7600 GT,,12,5,500,,600,128,"GDDR3, GDDR2, GDDR1"
NVIDIA GeForce 9500M G,G9x,16,,500,,800,128,"GDDR2, GDDR3"
NVIDIA GeForce 8600M GS,G8x,16,,600,,700,128,"GDDR3, GDDR2"
NVIDIA NVS 2100M,GT2xx,16,,535,,800,64,"GDDR3, DDR3"
NVIDIA GeForce Go 7700,,12,5,450,,500,128,"GDDR3, GDDR2, GDDR1"
NVIDIA GeForce Go 6800,,12,5,300,,300,128 / 256,
NVIDIA Quadro FX Go 1400,,12,5,330,,500,256,
ATI Mobility Radeon X800XT,,16,6,480,,550,256,
AMD Radeon HD 6430M,Terascale 2,160,,480,,800,64,DDR3
AMD Radeon HD 6380G,Terascale 2,160,,400,,,,
ATI Mobility Radeon HD 5430,Terascale 2,80,,550,,800,64,"DDR3, GDDR5?"
AMD Radeon HD 8210,GCN,128,,300,,,,
ATI Mobility Radeon HD 540v,Terascale 1,80,,550,,800,64,"GDDR3, DDR3, DDR2"
ATI Mobility Radeon HD 4550,Terascale 1,80,,550,,700,64,"GDDR3, DDR2, DDR3"
Intel HD Graphics 2500,Gen. 7 Ivy Bridge,6,,650,1150,,64/128,
Intel HD Graphics (Ivy Bridge),Gen. 7 Ivy Bridge,6,,350,1100,,64/128,
AMD Radeon HD 7350M,Terascale 2,80,,500,,1800,64,DDR3
AMD Radeon HD 6350M,Terascale 2,80,,500,,800-900,64,DDR3
ATI Mobility Radeon HD 4530,Terascale 1,80,,500,,700,64,"GDDR3, DDR2, DDR3"
ATI Mobility Radeon HD 4350,Terascale 1,80,,450,,600,64,"GDDR3, DDR2, DDR3"
ATI Mobility Radeon HD 530v,Terascale 1,80,,450,,600,64,"GDDR3, DDR3, DDR2"
NVIDIA GeForce 305M,GT2xx,16,,525,,700,64,"GDDR2, GDDR3, DDR2, DDR3"
ATI Mobility Radeon X1700,,12,5,475,,400,128,DDR/DDR2/GDDR3/GDDR4
ATI Mobility FireGL V5250,,12,5,400,,330,128,DDR/DDR2/GDDR3/GDDR4
ATI Mobility Radeon X2500,,12,5,460,,400,64 / 128,DDR2
NVIDIA GeForce Go 7600,,8,5,450,,350,128 / 64,"GDDR3, GDDR2, GDDR1"
NVIDIA Quadro NVS 300M,,8,5,450,,500,128,GDDR3
ATI Mobility Radeon X800,,12,6,400,,350,128 / 256,"GDDR2, GDDR3"
ATI Mobility Radeon X1600,,12,5,450,,470,128,DDR/DDR2/GDDR3
ATI Mobility FireGL V5200,,12,5,425,,475,128,DDR/DDR2/GDDR3
ATI Mobility Radeon 9800,,8,4,350,,300,256,DDR2 / DDR3
NVIDIA GeForce Go 6600,,8,4,375,,300,128,GDDR2
ATI Mobility Radeon X1450,,4,2,550,,450,128,DDR1/DDR2/DDR3
ATI Mobility Radeon X700,,8,6,350,,350,128,DDR/DDR2
ATI Mobility FireGL V5000,,8,6,350,,350,128,GDDR3
NVIDIA GeForce G 110M,G9x,16,,400,,700,64,"GDDR2, GDDR3"
AMD Radeon HD 6330M,Terascale 2,80,,500,,800,64,DDR3
ATI Mobility Radeon HD 4330,Terascale 1,80,,450,,600,64,"GDDR3, DDR2, DDR3"
NVIDIA GeForce 8400M GT,,16,,450,,600,128,GDDR3 / GDDR2
NVIDIA Quadro NVS 140M,,16,,400,,700,64,"GDDR3, GDDR2"
Intel HD Graphics 2000,Gen. 6 Sandy Bridge,6,,850/1100,1350,,64/128,
NVIDIA GeForce G 107M,G9x,16,,,,,,
NVIDIA GeForce G 105M,G9x,8,,640,,700,64,"GDDR2, GDDR3"
NVIDIA GeForce G 103M,G9x,8,,640,,500,64,DDR2
NVIDIA GeForce 9500M GE,,24,,,,,64,"GDDR2, GDDR3"
NVIDIA GeForce G 102M,G9x,16,,450,,,,"DDR2, DDR3"
NVIDIA GeForce G 205M,G9x,16,,450,,,,
NVIDIA GeForce 9400M (G) / ION (LE),,16,,450,,,,
Intel HD Graphics (Sandy Bridge),Gen. 6 Sandy Bridge,6,,350,1100,,64/128,
Intel HD Graphics (Bay Trail),Gen. 7 Ivy Bridge,4,,311,896,,32/64/128,
VIA Chrome9HD,,,,,,,,
AMD Radeon HD 7340,Terascale 2,80,,523,680,,,
AMD Radeon HD 6320,Terascale 2,80,,500,600,,,
AMD Radeon HD 7310,Terascale 2,80,,500,,,,
AMD Radeon HD 6310,Terascale 2,80,,500,,,,
